2025-01-10 13:52:23.7720 Info Application Start
2025-01-10 13:52:25.3208 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 13:53:47.0253 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 14:06:02.0512 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 14:14:47.2395 Info Application Start
2025-01-10 14:14:47.5613 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 14:32:28.2050 Info Application Start
2025-01-10 14:32:29.4689 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 14:41:56.2442 Info Application Start
2025-01-10 14:41:57.5877 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 15:35:49.5100 Info Application Start
2025-01-10 15:43:26.5506 Info Application Start
2025-01-10 15:44:40.2034 Info Application Start
2025-01-10 15:48:01.1287 Info Application Start
2025-01-10 16:43:48.8547 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:48.9291 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:49.4064 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:49.4489 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:50.4327 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:50.5117 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:50.9339 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:51.0238 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:52.3192 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:52.3841 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:52.9984 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:53.0410 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:44:17.5998 Trace Executing Controller: MainUser, Action: SelectUser
2025-01-10 16:44:17.6048 Trace Executed Controller: MainUser, Action: SelectUser
2025-01-10 16:44:23.4944 Trace Executing Controller: MainUser, Action: GetRoleIdAndName
2025-01-10 16:44:23.4944 Trace Executed Controller: MainUser, Action: GetRoleIdAndName
2025-01-10 16:44:40.8302 Trace Executing Controller: MainUser, Action: GetRoleIdAndName
2025-01-10 16:44:40.8302 Trace Executed Controller: MainUser, Action: GetRoleIdAndName
2025-01-10 16:44:51.3101 Trace Executing Controller: MainUser, Action: GetRoleIdAndName
2025-01-10 16:44:51.3101 Trace Executed Controller: MainUser, Action: GetRoleIdAndName
2025-01-10 16:45:08.3763 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:45:08.3763 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:45:09.6709 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:45:09.6709 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:45:10.4707 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:45:10.4707 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:45:51.6351 Trace Executing Controller: MainProduct, Action: Index
2025-01-10 16:45:51.6351 Trace Executed Controller: MainProduct, Action: Index
2025-01-10 16:45:59.1191 Trace Executing Controller: MainProduct, Action: Index
2025-01-10 16:45:59.1191 Trace Executed Controller: MainProduct, Action: Index
2025-01-10 16:45:59.2457 Trace Executing Controller: MainProduct, Action: Index
2025-01-10 16:45:59.2457 Trace Executed Controller: MainProduct, Action: Index
2025-01-10 16:46:05.1701 Trace Executing Controller: MainProduct, Action: GetProduct
2025-01-10 16:46:05.2110 Trace Executed Controller: MainProduct, Action: GetProduct
2025-01-10 16:46:11.9630 Trace Executing Controller: MainProduct, Action: GetProduct
2025-01-10 16:46:11.9630 Trace Executed Controller: MainProduct, Action: GetProduct
2025-01-10 16:46:24.4026 Trace Executing Controller: MainProduct, Action: GetProduct
2025-01-10 16:46:24.4944 Trace Executed Controller: MainProduct, Action: GetProduct
2025-01-10 16:49:25.1587 Trace Executing Controller: MainUser, Action: Index
2025-01-10 16:49:25.1587 Trace Executed Controller: MainUser, Action: Index
2025-01-10 16:49:25.1796 Trace Executing Controller: MainUser, Action: Index
2025-01-10 16:49:25.1796 Trace Executed Controller: MainUser, Action: Index
2025-01-10 16:49:25.2524 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:49:25.2584 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:49:35.4237 Trace Executing Controller: MainUser, Action: GetCreateUserView
2025-01-10 16:49:35.5250 Trace Executed Controller: MainUser, Action: GetCreateUserView
2025-01-10 16:49:35.5507 Trace Executing Controller: MainUser, Action: GetCreateUserView
2025-01-10 16:49:35.5507 Trace Executed Controller: MainUser, Action: GetCreateUserView
2025-01-10 16:50:12.9454 Trace Executing Controller: MainUser, Action: CreateUser
2025-01-10 16:50:12.9454 Trace CreateUser
2025-01-10 16:50:13.2875 Trace Executed Controller: MainUser, Action: CreateUser
2025-01-10 16:50:13.3024 Trace Executing Controller: MainUser, Action: Index
2025-01-10 16:50:13.3024 Trace Executed Controller: MainUser, Action: Index
2025-01-10 16:50:13.3513 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:50:13.3513 Trace Executed Controller: MainUser, Action: GetSortedUser
