2025-01-15 10:47:57.9115 Trace Executed Controller: MainProduct, Action: Index
2025-01-15 10:47:58.0056 Trace Executing Controller: MainProduct, Action: GetProduct
2025-01-15 10:47:58.0056 Trace Executed Controller: MainProduct, Action: GetProduct
2025-01-15 13:35:20.0637 Info Application End
2025-01-15 13:35:41.0949 Info Application Start
2025-01-15 13:35:42.1228 Error System.Web.HttpException: 在控制器 'Pashamao.Controllers.MainOrderController' 上找不到公用動作方法 'OrderDetail'。
2025-01-15 13:39:52.0723 Info Application End
2025-01-15 13:39:56.8806 Info Application Start
2025-01-15 13:39:57.3334 Trace Executing Controller: MainHome, Action: Index
2025-01-15 13:39:57.4441 Trace Executed Controller: MainHome, Action: Index
2025-01-15 13:40:05.9608 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 13:40:05.9608 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 13:40:06.6549 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 13:40:06.6549 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 13:40:06.9860 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 13:40:07.0130 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 13:43:34.9281 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 13:43:34.9311 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 13:43:35.1595 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 13:43:35.1725 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 13:43:36.7071 Trace Executing Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-15 13:43:36.7120 Trace Executed Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-15 13:43:36.7320 Trace Executing Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-15 13:43:36.7320 Trace Executed Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-15 13:43:59.4639 Trace Executing Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-15 13:43:59.4639 Trace Executed Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-15 13:44:31.5924 Trace Executing Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-15 13:44:31.5924 Trace Executed Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-15 13:45:40.0353 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 13:45:40.0413 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 13:45:40.0692 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 13:45:40.0702 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 13:45:40.1766 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 13:45:40.1875 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 13:46:23.5888 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 13:46:23.5888 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 13:46:24.4674 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 13:46:24.4874 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 13:47:59.2954 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 13:47:59.2954 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 13:48:00.1210 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 13:48:00.1509 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 13:48:10.1186 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 13:48:10.1186 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 13:48:10.8975 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 13:48:10.9125 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 13:48:55.1028 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 13:48:55.1028 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 13:48:55.9645 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 13:48:55.9805 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 13:49:11.5414 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 13:49:11.5414 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 13:49:12.2224 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 13:49:12.2363 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 13:49:18.2229 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 13:49:18.2229 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 13:49:19.0404 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 13:49:19.0544 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 13:49:35.4598 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 13:49:35.4658 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 13:49:36.1230 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 13:49:36.1350 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 13:50:03.0183 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 13:50:03.0183 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 13:50:03.7085 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 13:50:03.7284 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 13:50:26.1370 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 13:50:26.1370 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 13:50:26.8282 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 13:50:26.8422 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 13:50:38.1483 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 13:50:38.1483 Trace Executed Controller: MainOrder, Action: Index
